,0,1,2,3,4,5,,Ps,Ps(1-mu)/(1-muPs),,(SPsMu-SI)/SI,SPs(1-Mu)-SA)/SA,,SA|SI -SA)/SA
0,952580.2552,12673.75788,5431.610522,1427.598428,611.8278977,905.337029,,0.002100221,0.000630463,,0.01902379,0.01902379,,0.019876402
1,950540.8288,13196.01928,5655.436835,1483.000519,635.571651,942.5305524,,0.002186767,0.000656461,,0.018862287,0.018862287,,0.01974995
2,948422.2567,13736.48925,5887.066821,1540.036053,660.0154514,981.0109119,,0.00227633,0.000683366,,0.018694677,0.018694677,,0.019618607
3,946222.2052,14295.51439,6126.649024,1598.708889,685.1609524,1020.801703,,0.002368969,0.000711196,,0.018520828,0.018520828,,0.019482262
4,943938.3353,14873.42157,6374.323533,1659.01846,711.0079113,1061.925025,,0.002464736,0.000739968,,0.018340557,0.018340557,,0.019340753
5,941568.3089,15470.51501,6630.220719,1720.959479,737.5540623,1104.401283,,0.002563683,0.000769697,,0.018153685,0.018153685,,0.01919392
6,939109.7954,16087.07321,6894.459946,1784.521669,764.795001,1148.249,,0.002665855,0.000800397,,0.01796009,0.01796009,,0.019041661
7,936560.4787,16723.34588,7167.148233,1849.689223,792.7239529,1193.484545,,0.002771295,0.00083208,,0.017759611,0.017759611,,0.018883829
8,933918.0656,17379.55055,7448.378809,1916.440451,821.3316217,1240.121903,,0.002880037,0.000864758,,0.017552067,0.017552067,,0.018720256
9,931180.2935,18055.8691,7738.229616,1984.747539,850.6060883,1288.172465,,0.002992112,0.00089844,,0.017337333,0.017337333,,0.01855083
10,928344.9399,18752.44418,8036.76179,2054.576106,880.5326169,1337.644753,,0.003107545,0.000933133,,0.017115293,0.017115293,,0.018375442
11,925409.8311,19469.37553,8344.018084,2125.884696,911.0934414,1388.544107,,0.00322635,0.000968843,,0.016885775,0.016885775,,0.018193925
12,922372.853,20206.71612,8660.021194,2198.62462,942.2676942,1440.872479,,0.003348538,0.001005572,,0.016648645,0.016648645,,0.018006148
13,919231.9607,20964.46826,8984.772112,2272.739701,974.0313006,1494.628194,,0.003474108,0.00104332,,0.016403842,0.016403842,,0.017812049
14,915985.1897,21742.57977,9318.248472,2348.165619,1006.356694,1549.805534,,0.003603052,0.001082085,,0.016151215,0.016151215,,0.017611472
15,912630.6674,22540.93985,9660.402795,2424.829861,1039.212797,1606.394551,,0.003735352,0.001121863,,0.015890641,0.015890641,,0.017404285
16,909166.6247,23359.37516,10011.16078,2502.651646,1072.564991,1664.380875,,0.003870978,0.001162644,,0.015622092,0.015622092,,0.017190446
17,905591.4081,24197.64594,10370.41969,2581.541332,1106.374857,1723.745255,,0.004009892,0.001204416,,0.01534547,0.01534547,,0.016969841
18,901903.4919,25055.44201,10738.04658,2661.400395,1140.600169,1784.46336,,0.004152041,0.001247166,,0.015060681,0.015060681,,0.016742351
19,898101.4913,25932.37905,11113.87673,2742.121517,1175.194936,1846.505637,,0.004297361,0.001290873,,0.01476771,0.01476771,,0.016507937
20,894184.1749,26827.99493,11497.71211,2823.588304,1210.109273,1909.836929,,0.004445778,0.001335514,,0.014466535,0.014466535,,0.016266542
21,890150.4773,27741.7463,11889.31984,2905.675231,1245.289385,1974.416203,,0.004597199,0.001381064,,0.014157111,0.014157111,,0.016018082
22,885999.5127,28673.00533,12288.43086,2988.247904,1280.677673,2040.196475,,0.004751522,0.001427491,,0.01383944,0.01383944,,0.015762517
23,881730.5871,29621.05676,12694.73861,3071.163192,1316.212797,2107.124614,,0.004908627,0.00147476,,0.013513569,0.013513569,,0.015499845
24,877343.2111,30585.09534,13107.898,3154.269231,1351.82967,2175.140972,,0.005068382,0.00152283,,0.01317952,0.01317952,,0.015230031
25,872837.1122,31564.2236,13527.5244,3237.405901,1387.459672,2244.179415,,0.005230638,0.001571657,,0.012837348,0.012837348,,0.014953068
26,868212.2466,32557.45008,13953.19289,3320.405198,1423.030799,2314.167299,,0.005395229,0.001621193,,0.012487138,0.012487138,,0.014668973
27,863468.8106,33563.68798,14384.43771,3403.091661,1458.467855,2385.025149,,0.005561977,0.001671382,,0.012128996,0.012128996,,0.014377777
28,858607.2511,34581.75449,14820.75193,3485.282977,1493.692704,2456.666766,,0.005730685,0.001722166,,0.011763057,0.011763057,,0.014079537
29,853628.2754,35610.3707,15261.58744,3566.790462,1528.624484,2528.999312,,0.005901141,0.001773482,,0.01138944,0.01138944,,0.013774282
30,848532.8605,36648.16185,15706.35508,3647.420054,1563.180023,2601.92324,,0.006073118,0.001825261,,0.011008325,0.011008325,,0.0134621
31,843322.2604,37693.65867,16154.42514,3726.973123,1597.274195,2675.332429,,0.006246371,0.00187743,,0.010619944,0.010619944,,0.013143121
32,837998.0131,38745.29936,16605.1283,3805.247047,1630.820163,2749.114376,,0.006420643,0.00192991,,0.010224483,0.010224483,,0.012817429
33,832561.9459,39801.43203,17057.75659,3882.036413,1663.729891,2823.150403,,0.006595659,0.001982621,,0.009822155,0.009822155,,0.012485123
34,827016.1796,40860.31804,17511.56488,3957.134452,1695.914765,2897.315915,,0.006771132,0.002035474,,0.00941329,0.00941329,,0.012146416
