,S,I,A,SI,SA,IR,,Ps,P,,SAe,,,,,
0,868212.2466,32557.45008,13953.19289,3320.405198,1423.030799,2314.167299,,0.005395229,0.001624705,,1405.193853,,16.18491168,38.24416449,,0.297357824
1,863468.8106,33563.68798,14384.43771,3403.091661,1458.467855,2385.025149,,0.005561977,0.001675115,,1440.708962,,16.6851303,39.41186548,,0.29743358
2,858607.2511,34581.75449,14820.75193,3485.282977,1493.692704,2456.666766,,0.005730685,0.00172613,,1476.051545,,17.19123083,40.59228445,,0.29751099
3,853628.2754,35610.3707,15261.58744,3566.790462,1528.624484,2528.999312,,0.005901141,0.001777686,,1511.142091,,17.70257774,41.78388374,,0.297590028
4,848532.8605,36648.16185,15706.35508,3647.420054,1563.180023,2601.92324,,0.006073118,0.001829714,,1545.898562,,18.21848787,42.9850183,,0.297670657
5,843322.2604,37693.65867,16154.42514,3726.973123,1597.274195,2675.332429,,0.006246371,0.001882141,,1580.236738,,18.73823107,44.19393745,,0.297752827
6,837998.0131,38745.29936,16605.1283,3805.247047,1630.820163,2749.114376,,0.006420643,0.001934889,,1614.07059,,19.26103123,45.40878365,,0.297836499
7,832561.9459,39801.43203,17057.75659,3882.036413,1663.729891,2823.150403,,0.006595659,0.001987876,,1647.312681,,19.78606744,46.62759848,,0.297921627
8,827016.1796,40860.31804,17511.56488,3957.134452,1695.914765,2897.315915,,0.006771132,0.002041013,,1679.874601,,20.31247565,47.84833175,,0.298008143
9,821363.1304,41920.13658,17965.77282,4030.333651,1727.285851,2971.480718,,0.006946759,0.002094211,,1711.667455,,20.83935097,49.06884059,,0.298095981
10,815605.5109,42978.98951,18419.56693,4101.426626,1757.754268,3045.509326,,0.007122225,0.002147373,,1742.602351,,21.36575008,50.28689202,,0.298185098
11,809746.33,44034.90681,18872.10292,4170.208561,1787.23224,3119.2616,,0.007297206,0.002200401,,1772.590904,,21.89069389,51.50018477,,0.298275403
12,803788.8892,45085.85377,19322.50876,4236.47767,1815.633287,3192.593108,,0.007471363,0.002253193,,1801.545792,,22.41317113,52.70634773,,0.298366809
13,797736.7782,46129.73834,19769.88786,4300.035808,1842.872489,3265.355463,,0.007644349,0.002305642,,1829.38131,,22.93214202,53.90294049,,0.298459262
14,791593.8699,47164.41868,20213.32229,4360.691246,1868.867677,3337.397339,,0.00781581,0.002357642,,1856.013894,,23.44654203,55.08748124,,0.298552666
15,785364.311,48187.71259,20651.87682,4418.259386,1893.539737,3408.564966,,0.007985384,0.002409082,,1881.362705,,23.95528647,56.25745051,,0.298646915
16,779052.5119,49197.40701,21084.603,4472.563221,1916.812809,3478.702476,,0.008152705,0.00245985,,1905.350179,,24.45727534,57.41029203,,0.298741933
17,772663.1358,50191.26775,21510.54332,4523.435472,1938.615202,3547.653012,,0.008317402,0.002509833,,1927.902548,,24.95139808,58.54343585,,0.298837628
18,766201.0852,51167.05021,21928.73581,4570.719994,1958.879997,3615.259592,,0.008479103,0.002558919,,1948.950371,,25.4365389,59.65431376,,0.298933882
19,759671.4852,52122.51061,22338.21883,4614.272084,1977.545179,3681.365481,,0.008637436,0.002606993,,1968.429027,,25.91158238,60.74036178,,0.299030595
20,753079.6679,53055.41722,22738.03595,4653.959545,1994.554091,3745.814977,,0.008792032,0.002653943,,1986.279184,,26.37541907,61.79903327,,0.299127677
21,746431.1543,53963.56179,23127.24077,4689.664585,2009.856251,3808.454892,,0.008942524,0.002699656,,2002.447209,,26.82695112,62.82782488,,0.299225009
22,739731.6334,54844.77148,23504.90206,4721.283844,2023.407362,3869.134804,,0.009088553,0.002744023,,2016.885565,,27.26509823,63.82427938,,0.299322478
23,732986.9422,55696.92052,23870.10879,4748.729039,2035.169588,3927.707591,,0.009229766,0.002786936,,2029.553138,,27.68880346,64.78599775,,0.299419984
24,726203.0436,56517.94197,24221.97513,4771.928061,2045.112026,3984.031104,,0.009365821,0.002828289,,2040.415528,,28.09703906,65.71065906,,0.299517413
25,719386.0035,57305.83892,24559.64525,4790.825105,2053.210759,4037.968477,,0.009496387,0.002867981,,2049.445265,,28.48881205,66.59602886,,0.299614658
26,712541.9677,58058.69555,24882.29809,4805.38126,2059.449112,4089.388574,,0.009621146,0.002905914,,2056.621974,,28.86316971,67.43997516,,0.299711601
27,705677.1373,58774.68824,25189.1521,4815.574318,2063.817565,4138.167257,,0.009739796,0.002941997,,2061.9325,,29.21920509,68.24047519,,0.299808136
28,698797.7454,59452.0953,25479.46941,4821.398805,2066.313774,4184.187956,,0.009852052,0.00297614,,2065.370943,,29.55606192,68.99562623,,0.299904167
29,691910.0328,60089.30615,25752.55978,4822.866483,2066.942779,4227.342069,,0.009957646,0.003008263,,2066.938624,,29.87293905,69.70366456,,0.299999578
30,685020.2236,60684.83056,26007.78453,4820.005718,2065.716736,4267.529652,,0.010056333,0.003038288,,2066.644032,,30.16909517,70.36296962,,0.300094256
31,678134.5011,61237.30663,26244.55998,4812.860382,2062.65445,4304.660078,,0.010147886,0.003066146,,2064.502689,,30.44385274,70.97206195,,0.30018812
32,671258.9863,61745.50693,26462.36011,4801.490315,2057.781564,4338.652344,,0.010232102,0.003091775,,2060.53693,,30.69660104,71.52962438,,0.300281077
33,664399.7144,62208.3449,26660.71924,4785.971215,2051.130521,4369.435526,,0.010308801,0.00311512,,2054.775662,,30.9267993,72.03451644,,0.300373
34,657562.6127,62624.88059,26839.23454,4766.391789,2042.739338,4396.94897,,0.010377827,0.00313613,,2047.254104,,31.13397971,72.48574809,,0.300463824
35,650753.4815,62994.32341,26997.56718,4742.85433,2032.651856,4421.142595,,0.010439049,0.003154768,,2038.013397,,31.31774866,72.88250413,,0.300553481
36,643977.9753,63316.03515,27135.44363,4715.474785,2020.917765,4441.977339,,0.010492361,0.003170998,,2027.100235,,31.47778826,73.2241624,,0.300641851
37,637241.5828,63589.53259,27252.65683,4684.379512,2007.591219,4459.424704,,0.010537683,0.003184797,,2014.566473,,31.61385772,73.51026108,,0.300728873
38,630549.6121,63814.4874,27349.06603,4649.705112,1992.730762,4473.466951,,0.010574962,0.003196148,,2000.468664,,31.72579328,73.74051182,,0.300814495
39,623907.1762,63990.72556,27424.59667,4611.598381,1976.399306,4484.097484,,0.010604167,0.003205041,,1984.867584,,31.81350784,73.91481548,,0.300898632
40,617319.1785,64118.22646,27479.23991,4570.214002,1958.663144,4491.320207,,0.010625295,0.003211475,,1967.827766,,31.87699061,74.03324181,,0.300981217
41,610790.3014,64197.12026,27513.05154,4525.713138,1939.591345,4495.149169,,0.010638369,0.003215456,,1949.417006,,31.91630583,74.09602162,,0.301062212
42,604324.9969,64227.68422,27526.15038,4478.263205,1919.255659,4495.608841,,0.010643434,0.003216998,,1929.705855,,31.93159086,74.10355733,,0.301141569
43,597927.478,64210.33859,27518.71654,4428.036666,1897.73,4492.733793,,0.01064056,0.003216123,,1908.767126,,31.92305416,74.05641703,,0.301219225
44,591601.7113,64145.64146,27490.9892,4375.208941,1875.089546,4486.567483,,0.010629839,0.003212858,,1886.675408,,31.8909728,73.95531246,,0.301295154
45,585351.4129,64034.28292,27443.26411,4319.958106,1851.410617,4477.162529,,0.010611385,0.003207239,,1863.506582,,31.83568948,73.80110497,,0.301369325
46,579180.0441,63877.0785,27375.89078,4262.4638,1826.7702,4464.580553,,0.010585334,0.003199306,,1839.337357,,31.75760933,73.59479738,,0.301441707
47,573090.8101,63674.96174,27289.26932,4202.905924,1801.245396,4448.890657,,0.01055184,0.003189108,,1814.244821,,31.65719619,73.33752086,,0.301512277
